(1629633320.888000) can0  220#0B760C5E0901
(1629633321.850000) can0  200#8C7B88B6003AAD9B
(1629633321.850000) can0  240#06B80000
(1629633321.150000) can0  220#0B760C580901
(1629633321.347000) can0  200#8C7C88B7003AAE32
(1629633321.348000) can0  240#06BA0000
(1629633321.413000) can0  220#0B760C580901
(1629633321.610000) can0  240#06BA0000
(1629633321.610000) can0  200#8C7C88B9003AAEBA
(1629633321.676000) can0  220#0B750C580901
(1629633321.873000) can0  200#8C7D88BA003AAF55
(1629633321.873000) can0  240#06BA0000
(1629633321.939000) can0  220#0B750C580901
(1629633322.137000) can0  200#8C7E88BC003AAFEC
(1629633322.137000) can0  240#06BA0000
(1629633322.201000) can0  220#0B750C580901
(1629633322.398000) can0  200#8C7F88BD003AB084
(1629633322.399000) can0  240#06B80000
(1629633322.464000) can0  220#0B740C580901
(1629633322.661000) can0  240#06BA0000
(1629633322.662000) can0  200#8C8288BE003AB112
(1629633322.727000) can0  220#0B740C580901
(1629633322.924000) can0  240#06BA0000
(1629633322.925000) can0  200#8C8288BF003AB1B3
(1629633322.990000) can0  220#0B730C580901
(1629633323.187000) can0  200#8C8388C1003AB230
(1629633323.187000) can0  240#06B80000
(1629633323.253000) can0  220#0B730C580901
(1629633323.450000) can0  200#8C8488C2003AB2C2
(1629633323.450000) can0  240#06B80000
(1629633323.515000) can0  220#0B720C580901
(1629633323.712000) can0  200#8C8588C4003AB364
(1629633323.713000) can0  240#06BA0000
(1629633323.778000) can0  220#0B720C580901
(1629633323.975000) can0  200#8C8788C5003AB3E7
(1629633323.976000) can0  240#06BA0000
(1629633324.410000) can0  220#0B720C580901
(1629633324.238000) can0  200#8C8788C7003AB47D
(1629633324.238000) can0  240#06BA0000
(1629633324.304000) can0  220#0B710C530901
(1629633324.501000) can0  200#8C8988C8003AB506
(1629633324.501000) can0  240#06BA0000
(1629633324.567000) can0  220#0B710C530901
(1629633324.764000) can0  200#8C8988CA003AB59C
(1629633324.764000) can0  240#06B80000
(1629633324.829000) can0  220#0B710C530901
(1629633325.260000) can0  200#8C8B88CC003AB628
(1629633325.260000) can0  240#06B80000
(1629633325.920000) can0  220#0B700C530901
(1629633325.289000) can0  200#8C8B88CC003AB6BE
(1629633325.289000) can0  240#06BA0000
